iso3	country	area	dis_int	landlocked	continent	maincity	citynum	langoff_1	langoff_2	langoff_3	lang20_1	lang20_2	lang20_3	lang20_4	lang9_1	lang9_2	lang9_3	lang9_4	colonizer1	colonizer2	colonizer3	colonizer4	short_colonizer1	short_colonizer2	short_colonizer3
SMR	San Marino	61	2.937641	0	Europe	1	9	Italian	.	.	Italian	Emiliano-Romagnolo	.	.	.	.	.	.	.	.	.	.	.	.	.
SOM	Somalia	637657	300.3498	0	Africa	1	25	Somali	English	Arabic	Somali	.	.	.	.	.	.	.	GBR	ITA	.	.	.	.	.
STP	Sao Tome and Principe	964	11.6781	0	Africa	1	6	Portuguese	.	.	Portuguese	Sãotomense	.	.	.	.	.	.	PRT	.	.	.	.	.	.
SUR	Suriname	163820	152.236	0	America	1	14	Dutch	Hindi	.	Dutch	Hindustani Caribbean	Sranan	.	Javanese Caribbean	.	.	.	NLD	.	.	.	.	.	.
SVK	Slovakia	49036	83.2897	1	Europe	1	25	Slovak	.	.	Slovak	.	.	.	Hungarian	.	.	.	HUN	.	.	.	.	.	.
SVN	Slovenia	20256	53.53165	0	Europe	1	25	Slovenian	.	.	Slovenian	.	.	.	.	.	.	.	AUT	.	.	.	YUG	HUN	.
SWE	Sweden	449964	252.3032	0	Europe	1	25	Swedish	.	.	Swedish	.	.	.	Skane	.	.	.	.	.	.	.	.	.	.
SWZ	Swaziland	17364	49.56313	1	Africa	1	25	Swati	English	.	Swati	.	.	.	.	.	.	.	GBR	.	.	.	.	.	.
SYC	Seychelles	455	8.02305	0	Africa	1	5	English	French	.	Seselwa Creole French	French	English	.	.	.	.	.	GBR	FRA	.	.	.	.	.
SYR	Syrian Arab Republic	184004	161.342	0	Asia	1	25	Arabic	.	.	Arabic	.	.	.	.	.	.	.	FRA	TUR	.	.	.	.	.
TCD	Chad	1284005	426.2036	1	Africa	1	25	French	Arabic	.	Arabic	.	.	.	Ngambay	.	.	.	FRA	.	.	.	.	.	.
